facility_id,name,country_iso3,country,location,lat_lon,type,status,lithium_form,coproducts_byproducts,companies,evidence_tier,source_file
npl-hyakule-phakuwa-pegmatites-fac,Hyakule Phakuwa Pegmatites Mine,NPL,Nepal,Nepal,"27.5000, 87.3000",plant,unknown,Lithium (petalite; Spodumene),Antimony; Bismuth; Niobium; Tantalum,,A,facilities/NPL/npl-hyakule-phakuwa-pegmatites-fac.json
nld-sk-tes-rotterdam-fac,SK Tes Rotterdam Battery Recycling,NLD,Netherlands,Netherlands,"51.9050, 4.1480",plant,unknown,Lithium (as carbonate),Cobalt (as hydroxide); Copper; Graphite; Nickel,SK Tes (operator),A,facilities/NLD/nld-sk-tes-rotterdam-fac.json
nzl-ohaaki-geothermal-lithium-fac,Ohaaki Geothermal Lithium Plant,NZL,New Zealand,"Waikato, New Zealand","-38.5279, 176.2937",plant,development,Lithium,,Geo40 Limited; Contact Energy,A,facilities/NZL/nzl-ohaaki-geothermal-lithium-fac.json
ner-comirex-sa-lithium-project-fac,Comirex SA Lithium Facility,NER,Niger,"Agadez, Niger","19.5000, 9.5000",plant,unknown,Lithium,,Compagnie Minière de Recherche et d’Exploitation (Comirex SA); Nigerien government (40% stake),A,facilities/NER/ner-comirex-sa-lithium-project-fac.json
ner-tarouadji-project-fac,Tarouadji Exploration,NER,Niger,"Agadez, Niger","17.3458, 8.4189",exploration,unknown,Lithium,Tin,ENRG Elements Limited,A,facilities/NER/ner-tarouadji-project-fac.json
nga-continental-lithium-fac,Continental Lithium Facility,NGA,Nigeria,"Lagos State, Nigeria","8.4966, 4.5421",development,unknown,Lithium,,"C&C Minerals Limited; Chariot Corporation; Continental Critical Minerals, Inc.; Continental Lithium Limited",A,facilities/NGA/nga-continental-lithium-fac.json
nga-jiuling-canmax-three-crown-plant-1-fac,Jiuling/canmax/three Crown 1 Processing Plant,NGA,Nigeria,"Kebbi State, Nigeria","10.4071, 4.7178",plant,unknown,Lithium,,Canmax Technologies; Canmax Technologies Co. Ltd.; Jiuling Lithium Mining Company; Three Crown Mines; Three Crown Mines Limited,A,facilities/NGA/nga-jiuling-canmax-three-crown-plant-1-fac.json
nga-jupiter-project-fac,Jupiter Mine,NGA,Nigeria,"Kaduna State, Nigeria","10.0000, 7.0000",plant,unknown,Lithium,,Basin Mining Limited; Jupiter Lithium Limited; KD Prospect; Pegasus Resources Inc.; Range Mining Limited; ReElement Technologies Corporation,A,facilities/NGA/nga-jupiter-project-fac.json
pak-hubco-lithium-project-fac,Hubco Lithium Exploration,PAK,Pakistan,"Baluchistan, Pakistan","28.0000, 65.0000",plant,unknown,Lithium,,Hub Power Company Limited,A,facilities/PAK/pak-hubco-lithium-project-fac.json
pak-neelum-valley-exploration-fac,Neelum Valley Exploration Exploration,PAK,Pakistan,"Azad Kashmir, Pakistan","34.8401, 74.2451",plant,unknown,Lithium,Rare earths,,A,facilities/PAK/pak-neelum-valley-exploration-fac.json
per-falchani-project-fac,Falchani Development,PER,Peru,"Lima, Puno, Peru","-14.2360, -71.4671",plant,unknown,Lithium,,American Lithium Corp.; Macusani Yellowcake S.A.C.,A,facilities/PER/per-falchani-project-fac.json
prt-adag-i-fac,Adagói Facility,PRT,Portugal,"Douro, Portugal","41.2333, -7.1833",plant,unknown,Lithium,Feldspar; Quartz,,A,facilities/PRT/prt-adag-i-fac.json
prt-alvarr-es-lepidolite-mine-fac,Alvarrões Lepidolite Mine,PRT,Portugal,"Guarda, Portugal","40.6146, -7.1951",mine,unknown,Lithium,,Felmica Minerais Industrias SA; Grupo Mota,A,facilities/PRT/prt-alvarr-es-lepidolite-mine-fac.json
prt-argemela-mine-fac,Argemela Facility,PRT,Portugal,"Castelo Branco, Portugal","40.1933, -7.4900",development,unknown,Lithium,,"Grupo Almina; Lusorecursos Portugal Lithium, S.A.",A,facilities/PRT/prt-argemela-mine-fac.json
prt-canedo-covas-fac,Canedo Covas Facility,PRT,Portugal,"Northern Portugal, Portugal","41.7000, -7.7000",plant,unknown,Lithium,Feldspar; Quartz,Savannah Resources,A,facilities/PRT/prt-canedo-covas-fac.json
prt-gondiaes-mine-fac,Gondiaes Mine,PRT,Portugal,"Guarda, Portugal","41.4875, -7.8700",mine,unknown,Lithium,,Felmica - Minerais Industriais S.A.,A,facilities/PRT/prt-gondiaes-mine-fac.json
prt-lousas-fac,Lousas Facility,PRT,Portugal,"Beja, Portugal","41.7000, -7.6700",plant,unknown,Lithium,Feldspar; Quartz,Felmica,A,facilities/PRT/prt-lousas-fac.json
prt-mina-do-barroso-fac,Mina Do Barroso Mine,PRT,Portugal,"Northern Portugal, Portugal","41.6270, -7.8040",mine,unknown,Lithium,,Savannah Resources Plc; Savannah Resources Plc (75%); Slipstream Resources (25%),A,facilities/PRT/prt-mina-do-barroso-fac.json
prt-mina-do-romano-fac,Mina Do Romano Facility,PRT,Portugal,"Trás-os-Montes, Portugal","41.8000, -7.8000",development,unknown,Lithium,Niobium; Tantalum; Tin,"Lusorecursos Portugal Lithium, S.A.",A,facilities/PRT/prt-mina-do-romano-fac.json
prt-veral-fac,Veral Facility,PRT,Portugal,Portugal,"40.4500, -7.3000",plant,unknown,Lithium,Feldspar; Quartz,Grupo Mota,A,facilities/PRT/prt-veral-fac.json
rus-kolmozerskoye-deposit-fac,Kolmozerskoye Facility,RUS,Russia,"Murmansk Region, Russia","67.8000, 34.6000",plant,unknown,Lithium,Niobium; Tantalum,Nornickel; Polar Lithium; Rosatom,A,facilities/RUS/rus-kolmozerskoye-deposit-fac.json
sau-lithium-chemicals-plant-fac,Lithium Chemicals Processing Plant,SAU,Saudi Arabia,Saudi Arabia,"24.0210, 38.1200",plant,unknown,Lithium carbonate; Lithium hydroxide,,EV Metals Group (operator),A,facilities/SAU/sau-lithium-chemicals-plant-fac.json
srb-jadar-project-fac,Jadar Facility,SRB,Serbia,"Western Serbia, Serbia","44.5331, 19.3000",plant,unknown,Lithium,,Rio Tinto Ltd,A,facilities/SRB/srb-jadar-project-fac.json
sle-kalangba-deposit-fac,Kalangba Exploration,SLE,Sierra Leone,"Bombali District, Sierra Leone","9.0872, -12.6954",plant,unknown,Lithium,,Leone Afric Metals Limited,A,facilities/SLE/sle-kalangba-deposit-fac.json
kor-lithium-hydroxide-plant-fac,Lithium Hydroxide Plant,KOR,South Korea,"South Jeolla Province, South Korea","34.9500, 126.9200",plant,unknown,,,POSCO; POSCO Pilbara Lithium Solution; POSCO Pilbara Lithium Solution Company (PPLS); Pilbara Minerals; Posco Holdings; Posco Pilbara Lithium Solutions,B,facilities/KOR/kor-lithium-hydroxide-plant-fac.json
tza-hombolo-li-area-fac,Hombolo Li Area Mine,TZA,Tanzania,Tanzania,"-5.9180, 35.8910",mine,unknown,Lithium,,,A,facilities/TZA/tza-hombolo-li-area-fac.json
tha-reung-kiet-lithium-prospect-fac,Reung Kiet Lithium Prospect Exploration,THA,Thailand,"Phang Nga Province, Thailand","8.4000, 98.5000",plant,unknown,Lithium,,Pan Asia Metals Limited,A,facilities/THA/tha-reung-kiet-lithium-prospect-fac.json
tkm-karabogazgol-bay-lithium-fac,Karabogazgol Bay Lithium Brines Facility,TKM,Turkmenistan,"Balkan Province, Turkmenistan","41.3519, 53.5953","plant, plant",unknown,Lithium,,,A,facilities/TKM/tkm-karabogazgol-bay-lithium-fac.json
uga-gamba-hill-nampeyo-fac,Gamba Hill Nampeyo Exploration,UGA,Uganda,Uganda,"0.5850, 32.9180",plant,unknown,Lithium,Bismuth; Niobium; Tantalum,,A,facilities/UGA/uga-gamba-hill-nampeyo-fac.json
uga-mityana-project-fac,Mityana Exploration,UGA,Uganda,"Central Uganda, Uganda","0.4200, 32.0700",plant,unknown,Lithium,Neodymium-praseodymium (NdPr); Tantalum,Blaze Minerals Limited; Gecko Minerals Uganda; Javelin Minerals,A,facilities/UGA/uga-mityana-project-fac.json
uga-mutaka-fac,Mutaka Exploration,UGA,Uganda,Uganda,"-0.8500, 30.0500",plant,unknown,Lithium,Neodymium-praseodymium (NdPr),,A,facilities/UGA/uga-mutaka-fac.json
uga-ntungamo-project-fac,Ntungamo Exploration,UGA,Uganda,"Ntungamo District, Uganda","-0.8800, 30.2600",plant,unknown,Lithium,Beryllium; Neodymium-praseodymium (NdPr); Tantalum,Blaze Minerals Limited; Gecko Minerals Uganda; Javelin Minerals,A,facilities/UGA/uga-ntungamo-project-fac.json
uga-rwemeriro-fac,Rwemeriro Exploration,UGA,Uganda,"UGA, Uganda","-0.8500, 30.3500",plant,unknown,Lithium,Neodymium-praseodymium (NdPr),GoldQuest Mining Corp.; Unclear,A,facilities/UGA/uga-rwemeriro-fac.json
